"data","acompanhamento","prato_principal","guarnicao","sobremesa","sem_atendimento","quantidade_almoco","quantidade_jantar"
"2025-05-22","45,46","90,91","","92,56",0,3124,1595
"2025-05-23","156,46","133,96","85","55,60",0,1722,528
"2025-05-26","156,46","142,119","","92,51",0,2356,826
"2025-05-27","156,46","129,62","63","71,56",0,3124,1512
"2025-05-28","156,126","123,124","74","59,51",0,2683,1094
"2025-05-29","156,46","134,107","49","64,56",0,2622,958
"2025-05-30","156,46","133,96","85","64,56",0,1695,450
"2025-06-02","156,46","140,78","","159,60",0,2266,782
"2025-06-03","156,46","94,95","","59,56",0,2329,812
"2025-06-04","156,46","130,48","97","55,125",0,2326,822
"2025-06-05","156,46","123,124","74","59,51",0,2590,938
"2025-06-06","156,46","133,96","85","115,60",0,1715,454
"2025-06-09","156,46","137,119","88","115,51",0,2196,738
"2025-06-10","156,46","75,76","","59,60",0,2280,837
"2025-06-11","156,46","90,91","","92,51",0,2993,1677
"2025-06-12","156,46","84,96","85","55,56",0,1928,526
"2025-06-13","156,46","131,66","","79,60",0,1615,498
"2025-06-16","156,46","142,96","","92,51",0,2164,763
"2025-06-17","156,46","129,62","63","71,56",0,3034,1414
"2025-06-18","156,46","140,78","","67,51",0,1855,523
"2025-06-23","156,46","132,53","54","71,51",0,2363,941
"2025-06-24","156,46","137,119","","59,160",0,2239,816
"2025-06-25","156,46","123,124","74","64,125",0,2522,1104
"2025-06-26","156,46","133,96","85","55,60",0,1943,592
"2025-06-30","45,46","134,73","49","64,51",0,2556,942
"2025-07-01","45,46","75,76","","59,56",0,2042,872
"2025-07-02","45,46","137,48","74","79,56",0,2028,716
"2025-07-03","45,46","137,119","88","67,51",0,2122,817
"2025-07-04","45,46","133,48","85","55,60",0,1641,432
"2025-07-07","45,46","80,53","54","115,51",0,2571,1170
"2025-07-08","45,46","90,91","","92,56",0,2972,1536
"2025-07-09","45,46","137,119","74","71,60",0,2009,672
"2025-07-10","45,46","75,76","","59,60",0,2027,756
"2025-07-11","45,46","133,96","74","64,51",0,1519,403
"2025-07-14","45,46","137,48","","92,51",0,1830,636
"2025-07-15","45,46","134,135","141","59,56",0,2343,886
"2025-07-16","156,46","94,95","","79,60",0,1911,651
"2025-07-17","156,46","100,101","143","59,56",0,2178,654
"2025-07-18","156,46","133,96","85","67,60",0,1458,384
"2025-07-21","156,46","137,48","88","64,51",0,1554,566
